batch_size,accuracy,loss,val_acc,val_loss,seconds,processor
16,0.9831989407539368,0.0492303185164928,1.0,0.0195057280361652,154.7185230255127,GPU
32,0.9936155676841736,0.0197371821850538,0.9375,0.2788593173027038,117.48383712768556,GPU
64,0.9976223111152648,0.0148957939818501,0.890625,0.4071425795555115,93.81983184814452,GPU
128,0.99898099899292,0.0139464465901255,0.8203125,0.5411756634712219,104.64875268936156,GPU
